fx fy fz
0.00000000e+00 1.02373626e-04 1.25969637e-07
0.00000000e+00 8.26205759e-05 1.33619457e-07
0.00000000e+00 5.80883216e-05 6.22326596e-08
0.00000000e+00 2.96789560e-05 -9.71791754e-08
0.00000000e+00 -1.08591042e-06 -3.11362885e-07
0.00000000e+00 -3.21441123e-05 -4.59098685e-07
0.00000000e+00 -6.24662830e-05 -4.27487720e-07
0.00000000e+00 -9.12112707e-05 -4.61275002e-07
0.00000000e+00 -1.07590142e-04 -1.18507110e-06
0.00000000e+00 -1.17555597e-04 -2.09640871e-06
0.00000000e+00 -2.67078616e-04 3.72484693e-07
0.00000000e+00 -5.59896826e-04 7.68013011e-06
0.00000000e+00 1.70224879e-04 2.46396856e-06
0.00000000e+00 1.72028493e-03 -1.85684557e-05
0.00000000e+00 -1.20910363e-03 -3.78656329e-06
0.00000000e+00 1.28804201e-03 1.85935527e-05
0.00000000e+00 -2.13731932e-03 2.74380969e-05
0.00000000e+00 2.76478589e-04 -1.11261283e-05
0.00000000e+00 6.69281980e-04 -1.05317013e-05
0.00000000e+00 8.19385129e-05 4.98434725e-06
0.00000000e+00 5.06445500e-05 4.15556012e-06
0.00000000e+00 9.01819639e-05 6.33487676e-07
0.00000000e+00 7.05722015e-05 7.86721628e-07
0.00000000e+00 5.35290904e-05 1.77339142e-06
0.00000000e+00 3.27754001e-05 1.69823693e-06
0.00000000e+00 4.21388768e-06 1.15216648e-06
0.00000000e+00 -2.46433816e-05 7.64359536e-07
0.00000000e+00 -5.04107117e-05 5.41166591e-07
0.00000000e+00 -7.26451940e-05 3.88145655e-07
0.00000000e+00 -9.07932810e-05 3.19598281e-07
0.00000000e+00 -1.04159876e-04 3.64453665e-07
0.00000000e+00 -1.12260576e-04 5.06739133e-07
0.00000000e+00 -1.14882119e-04 7.02153396e-07
0.00000000e+00 -1.12018494e-04 9.02496709e-07
0.00000000e+00 -1.03893041e-04 1.06438799e-06
0.00000000e+00 -9.09703350e-05 1.15306129e-06
0.00000000e+00 -7.38875604e-05 1.14677765e-06
0.00000000e+00 -5.34529220e-05 1.04081642e-06
0.00000000e+00 -3.06054648e-05 8.48334537e-07
0.00000000e+00 -6.37597834e-06 5.97745355e-07
0.00000000e+00 1.81550471e-05 3.27472716e-07
0.00000000e+00 4.19018440e-05 7.91688183e-08
0.00000000e+00 6.38184487e-05 -1.09490507e-07
0.00000000e+00 8.29423726e-05 -2.11281298e-07
0.00000000e+00 9.84347335e-05 -2.14097421e-07
0.00000000e+00 1.09616802e-04 -1.23000881e-07
0.00000000e+00 1.16007537e-04 4.06625488e-08
