ux uy uz
0.00000000e+00 3.58448869e+02 -2.50793493e+01
0.00000000e+00 3.03457688e+02 -2.73496942e+01
0.00000000e+00 2.45010046e+02 -3.01205053e+01
0.00000000e+00 1.83826296e+02 -3.33110931e+01
0.00000000e+00 1.20662834e+02 -3.68205295e+01
0.00000000e+00 5.63039688e+01 -4.05324243e+01
0.00000000e+00 -8.44639181e+00 -4.43204802e+01
0.00000000e+00 -7.27731939e+01 -4.80545760e+01
0.00000000e+00 -1.35858795e+02 -5.16071059e+01
0.00000000e+00 -1.96891602e+02 -5.48592938e+01
0.00000000e+00 -2.55074779e+02 -5.77071993e+01
0.00000000e+00 -3.09635020e+02 -6.00671517e+01
0.00000000e+00 -3.59831390e+02 -6.18803668e+01
0.00000000e+00 -4.04964247e+02 -6.31165343e+01
0.00000000e+00 -4.44384247e+02 -6.37761925e+01
0.00000000e+00 -4.77501469e+02 -6.38917457e+01
0.00000000e+00 -5.03794634e+02 -6.35270101e+01
0.00000000e+00 -5.22820414e+02 -6.27752301e+01
0.00000000e+00 -5.34222732e+02 -6.17555672e+01
0.00000000e+00 -5.37741978e+02 -6.06081588e+01
0.00000000e+00 -5.33224100e+02 -5.94879340e+01
0.00000000e+00 -5.20629748e+02 -5.85574187e+01
0.00000000e+00 -5.00043820e+02 -5.79786893e+01
0.00000000e+00 -4.71685532e+02 -5.79044282e+01
0.00000000e+00 -4.35917834e+02 -5.84678235e+01
0.00000000e+00 -3.93252602e+02 -5.97711261e+01
0.00000000e+00 -3.44346650e+02 -6.18733156e+01
0.00000000e+00 -2.89988470e+02 -6.47783148e+01
0.00000000e+00 -2.31091784e+02 -6.84256753e+01
0.00000000e+00 -1.68734062e+02 -7.26848658e+01
0.00000000e+00 -1.04277017e+02 -7.73536458e+01
0.00000000e+00 -3.95356550e+01 -8.21642828e+01
0.00000000e+00 2.31828004e+01 -8.68083051e+01
0.00000000e+00 8.14367157e+01 -9.09862476e+01
0.00000000e+00 1.33429963e+02 -9.44553019e+01
0.00000000e+00 1.78570102e+02 -9.70173231e+01
0.00000000e+00 2.16706217e+02 -9.84616569e+01
0.00000000e+00 2.45998163e+02 -9.86377956e+01
0.00000000e+00 2.61864733e+02 -9.77341348e+01
0.00000000e+00 2.59815727e+02 -9.63087476e+01
0.00000000e+00 8.46546956e+01 2.19776821e+02
0.00000000e+00 6.11711438e+01 2.03704250e+02
0.00000000e+00 3.76883891e+01 1.92492495e+02
0.00000000e+00 5.12104438e+00 1.85695693e+02
0.00000000e+00 -3.76801260e+01 1.81356792e+02
0.00000000e+00 -8.51897157e+01 1.77301867e+02
0.00000000e+00 -1.32143013e+02 1.72498642e+02
0.00000000e+00 -1.76898565e+02 1.67080776e+02
0.00000000e+00 -2.19877617e+02 1.61714785e+02
0.00000000e+00 -2.61302811e+02 1.57026517e+02
0.00000000e+00 -3.00512839e+02 1.53347108e+02
0.00000000e+00 -3.36389767e+02 1.50731627e+02
