fx fy fz
0.00000000e+00 -1.01497310e-03 7.02523178e-06
0.00000000e+00 -9.50439780e-04 7.81428016e-06
0.00000000e+00 -8.74561650e-04 8.20089328e-06
0.00000000e+00 -7.88247100e-04 8.16085550e-06
0.00000000e+00 -6.92528740e-04 7.69022816e-06
0.00000000e+00 -5.88550876e-04 6.80553590e-06
0.00000000e+00 -4.77555726e-04 5.54295704e-06
0.00000000e+00 -3.60868548e-04 3.95658692e-06
0.00000000e+00 -2.39881869e-04 2.11586819e-06
0.00000000e+00 -1.16038994e-04 1.02260177e-07
0.00000000e+00 9.18302490e-06 -1.99462072e-06
0.00000000e+00 1.34290757e-04 -4.08127878e-06
0.00000000e+00 2.57791945e-04 -6.06478524e-06
0.00000000e+00 3.78213040e-04 -7.85718638e-06
0.00000000e+00 4.94116535e-04 -9.37971311e-06
0.00000000e+00 6.04117939e-04 -1.05665108e-05
0.00000000e+00 7.06902176e-04 -1.13677965e-05
0.00000000e+00 8.01239244e-04 -1.17522338e-05
0.00000000e+00 8.85998954e-04 -1.17084370e-05
0.00000000e+00 9.60164543e-04 -1.12455425e-05
0.00000000e+00 1.02284502e-03 -1.03927610e-05
0.00000000e+00 1.07328603e-03 -9.19803641e-06
0.00000000e+00 1.11087915e-03 -7.72574115e-06
0.00000000e+00 1.13516941e-03 -6.05363778e-06
0.00000000e+00 1.14586100e-03 -4.26915402e-06
0.00000000e+00 1.14282103e-03 -2.46521821e-06
0.00000000e+00 1.12608128e-03 -7.35831967e-07
0.00000000e+00 1.09583808e-03 8.28468059e-07
