ux uy uz
0.00000000e+00 -1.24937003e+02 -4.22292876e-01
0.00000000e+00 -1.33745692e+02 -4.00823621e-01
0.00000000e+00 -1.40950703e+02 -3.48041181e-01
0.00000000e+00 -1.46466021e+02 -2.69174133e-01
0.00000000e+00 -1.50225800e+02 -1.70688640e-01
0.00000000e+00 -1.52185155e+02 -5.99818802e-02
0.00000000e+00 -1.52320702e+02 5.49688223e-02
0.00000000e+00 -1.50630839e+02 1.65984491e-01
0.00000000e+00 -1.47135767e+02 2.65072580e-01
0.00000000e+00 -1.41877244e+02 3.44806180e-01
0.00000000e+00 -1.34918083e+02 3.98676299e-01
0.00000000e+00 -1.26341399e+02 4.21400453e-01
0.00000000e+00 -1.16249607e+02 4.09172864e-01
0.00000000e+00 -1.04763192e+02 3.59844375e-01
0.00000000e+00 -9.20192696e+01 2.73023503e-01
0.00000000e+00 -7.81699354e+01 1.50093829e-01
0.00000000e+00 -6.33804520e+01 -5.85310042e-03
0.00000000e+00 -4.78272715e+01 -1.90166172e-01
0.00000000e+00 -3.16959293e+01 -3.96857325e-01
0.00000000e+00 -1.51788316e+01 -6.18887802e-01
0.00000000e+00 1.52703776e+00 -8.48504381e-01
0.00000000e+00 1.82224647e+01 -1.07760960e+00
0.00000000e+00 3.47083778e+01 -1.29814829e+00
0.00000000e+00 5.07882201e+01 -1.50249212e+00
0.00000000e+00 6.62702925e+01 -1.68380366e+00
0.00000000e+00 8.09700406e+01 -1.83636282e+00
0.00000000e+00 9.47122593e+01 -1.95583993e+00
0.00000000e+00 1.07333188e+02 -2.03950262e+00
0.00000000e+00 1.18682475e+02 -2.08634649e+00
0.00000000e+00 1.28624978e+02 -2.09714344e+00
0.00000000e+00 1.37042398e+02 -2.07440530e+00
0.00000000e+00 1.43834703e+02 -2.02226446e+00
0.00000000e+00 1.48921346e+02 -1.94627718e+00
0.00000000e+00 1.52242244e+02 -1.85315886e+00
0.00000000e+00 1.53758524e+02 -1.75046395e+00
0.00000000e+00 1.53453016e+02 -1.64622553e+00
0.00000000e+00 1.51330483e+02 -1.54857177e+00
0.00000000e+00 1.47417603e+02 -1.46533746e+00
0.00000000e+00 1.41762690e+02 -1.40368904e+00
0.00000000e+00 1.34435162e+02 -1.36978090e+00
0.00000000e+00 1.25524767e+02 -1.36845941e+00
0.00000000e+00 1.15140577e+02 -1.40302858e+00
0.00000000e+00 1.03409760e+02 -1.47508874e+00
0.00000000e+00 9.04761510e+01 -1.58445594e+00
